Sequence name,Lineage,Probability,Most common countries,Number of taxa,Date range,Days since last sampling
USA/NY-NYUMC298/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC299/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC3/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC30/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC300/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
USA/NY-NYUMC301/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC302/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC303/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC304/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC305/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC306/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC307/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC308/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC309/2020,B.1.26,1.0,"USA, New_Zealand, India",106,"March-17, July-26",55
USA/NY-NYUMC31/2020,B.2.1,1.0,"UK, Australia, USA",2157,"February-09, July-20",61
USA/NY-NYUMC310/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC311/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC312/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC313/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC314/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC315/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC316/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC317/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC318/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",29
USA/NY-NYUMC319/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
